,0
0,0.008415196800290283
1,0.02473786306562964
2,0.0
3,0.009514819937723847
4,0.0
5,0.0
6,0.03256331125145188
7,0.0
8,0.02242902396805033
9,0.0
10,0.0
11,0.07826300320296806
12,0.030967866836058174
13,0.0
14,0.012762251636235431
15,0.04437124407897777
16,0.0
17,0.0
18,0.011070223911189359
19,0.0
20,0.0
21,0.00451876065463927
22,0.0
23,0.0
24,0.0
25,0.0009186959262903813
26,0.0
27,0.009514819937724068
28,0.012410661070811964
29,0.0
30,0.017094433107007645
31,0.0
32,0.02614528015491058
33,0.0
34,0.010421695193657798
35,0.0
36,0.0
37,0.0
38,0.0
39,0.010758049996675352
40,0.0
41,0.013605652076326758
42,0.0
43,0.001890360573408798
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0019569477463924857
49,0.0
50,0.013566099246842708
51,0.0
52,0.01271410768581186
53,0.0
54,0.0
55,0.0
56,0.0
57,0.002125399268321291
58,0.005367699470644367
59,0.0
60,0.0
61,0.007490671739953343
62,0.0
63,0.010834342165223616
64,0.05372539938686753
65,0.0
66,0.0
67,0.020325903013610935
68,0.023035570391327014
69,0.008862687227103136
70,0.0
71,0.012776586568474154
72,0.023167058905417315
73,0.0
74,0.008666400399076922
75,0.0
76,0.0
77,0.005813969945673295
78,0.011472401317532802
79,0.04082199444176929
80,0.0
81,0.003642991013826133
82,0.0
83,0.010869672384810925
84,0.0
85,0.011664555381243008
86,0.0
87,0.01683690652648775
88,0.0
89,0.0
90,0.02766798562636051
91,0.0
92,0.0070360883243784835
93,0.0
94,0.016601517304409404
95,0.07013182339660645
96,0.0
97,0.01298719542305701
98,0.0
99,0.022187915014397094
100,0.02257783679344153
101,0.011551918552236057
102,0.0015302228624479368
103,0.0
104,0.0
105,0.0016246956094100728
106,0.0
107,0.002428168170809628
108,0.008077588595125952
109,0.012882626564450486
110,0.029876436228531273
111,0.0
112,0.0055053226024042255
113,0.0
114,0.0
115,0.0
116,0.0
117,0.011372990185944069
118,0.0
119,0.0446645210424642
120,0.026914350492765905
121,0.006006024401226992
122,0.017261216475574045
123,0.031515982833666877
124,0.004307257628976667
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.06444707594601529
131,0.0
132,0.002793297703524928
133,0.019191815939461152
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.014285957691504795
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.02717993104696046
146,0.0
147,0.023492372796015168
148,0.0266682467787519
149,0.0
150,0.0
151,0.0024262044250471194
152,0.012820688327950495
153,0.0
154,0.004076646619107603
155,0.0
156,0.013018898180951454
157,0.0145163837214583
158,0.003231020346210157
159,0.0
160,0.0016433856248158128
161,0.0
162,0.0
163,0.0
164,0.0
165,0.027106381695388836
166,0.024811196974370203
167,0.0
168,0.0039793129741918926
169,0.0
170,0.015109631535254861
171,0.010208177071638947
172,0.0
173,0.04672707646440256
174,0.0
175,0.0
176,0.0
177,0.007507542614873013
178,0.015435808114883596
179,0.003635045731938503
180,0.0
181,0.02138356558464763
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0375224391543846
190,0.0
191,0.0
192,0.0
193,0.0014641296751989608
194,0.01803150151517683
195,0.0
196,0.0
197,0.0007207210325642818
198,0.019915309441608926
199,0.003519890926140225
200,0.002803084881741081
201,0.004184106722995424
202,0.0
203,0.0028409106520157577
204,0.0
205,0.0
206,0.020401161109275052
207,0.003699597189813254
208,0.03394951232243712
209,0.0
210,0.03431214456412686
211,0.0
212,0.0
213,0.020284670755273723
214,0.0
215,0.0006704662602746967
216,0.004680717106483104
217,0.0
218,0.0
219,0.019297635119394925
220,0.0
221,0.0
222,0.0007010167756625527
223,0.0
224,0.0
225,0.020979790757503287
226,0.0
227,0.00834497161883678
228,0.00137268364294242
229,0.006775093528006613
230,0.0
231,0.0
232,0.0
233,0.0013633265601778772
234,0.0
235,0.0
236,0.011867503642393498
237,0.024557850556471725
238,0.025752495980372426
239,0.002604168485152967
240,0.0
241,0.03554493801466876
242,0.0
243,0.003149608837807093
244,0.0
245,0.037740327861145485
246,0.009273637228135113
247,0.0
248,0.036962705301150665
249,0.014624420052358695
