code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
002415.SZ,20110701,3.76629413,3.748196106,3.819635676,3.733908192,1722625,67.74561553,10.42,133.125384,0.058182818,3.574658907,1199.973651
002415.SZ,20110704,3.814873038,3.798680069,3.839638756,3.733908192,1413330,69.84810636,13.49,116.7612121,0.072787055,3.610691027,1237.16497
002415.SZ,20110705,3.812967983,3.840591283,3.840591283,3.781534572,1055793,69.65634965,14.34,104.6300068,0.083247668,3.64103257,966.9900215
002415.SZ,20110706,3.824398314,3.800585124,3.83392359,3.752958744,1153284,70.18523705,16.38,88.63279541,0.091406434,3.668537432,822.0652608
002415.SZ,20110707,3.912983381,3.824398314,3.983470423,3.824398314,2122882,73.9716534,18.83,115.7510161,0.103823577,3.705204324,1472.620445
002415.SZ,20110708,3.914888436,3.910125798,3.922508657,3.8101104,1056258,74.0479842,15.74,94.72148468,0.112520903,3.736656941,1114.664531
002415.SZ,20110711,3.916793491,3.894885356,3.967277454,3.858689308,645211,74.1296875,12.53,99.85939866,0.118204728,3.763677423,493.6112696
002415.SZ,20110712,3.994900754,3.894885356,4.010141196,3.872977222,1748912,77.28696161,11.39,114.1437469,0.127541584,3.798360923,881.8511218
002415.SZ,20110713,3.939654154,3.991090644,4.084438349,3.928223822,3529118,70.71325571,9.85,120.4752295,0.128996182,3.819554908,2596.085409
002415.SZ,20110714,4.09586868,3.933938988,4.113966704,3.915840964,3714705,76.73814332,12.57,135.5772689,0.141127341,3.861001973,4057.608051
002415.SZ,20110715,4.272086286,4.093963625,4.273038814,4.062530214,3334114,81.3892328,16.13,187.2108332,0.163080766,3.92266462,4852.829745
002415.SZ,20110718,4.185406274,4.26637112,4.268276176,4.179691109,1960949,73.59435729,11.84,162.5340352,0.171507628,3.962075868,4325.161502
002415.SZ,20110719,4.236842765,4.16730825,4.265418593,4.064435269,2250478,75.11727759,12.49,123.4717473,0.180258563,4.003290903,4093.419927
002415.SZ,20110720,4.19112144,4.23874782,4.26256101,4.109204066,1758539,71.18708526,9.86,102.8549383,0.181413195,4.031465483,3472.777383
002415.SZ,20110721,4.145400115,4.19112144,4.200646716,4.134922312,915650,67.38996892,8.72,75.33495357,0.176603149,4.048555678,2274.553084
002415.SZ,20110722,4.086343404,4.103488901,4.195884078,4.076818128,1703341,62.73519013,6.85,46.88984263,0.166110947,4.054223837,1938.210022
002415.SZ,20110725,4.080628238,4.0482423,4.14730517,4.0482423,2148256,62.28681229,4.28,25.30746799,0.155541647,4.058184497,2007.523463
002415.SZ,20110726,4.229222544,4.081580766,4.243510458,4.076818128,1760950,68.57549156,8.03,67.61475246,0.157341979,4.083840204,1729.989055
002415.SZ,20110727,4.314950028,4.19112144,4.42925334,4.182548692,1833422,71.52551013,10.17,129.8484941,0.163798085,4.118506678,1550.645013
002415.SZ,20110728,4.484499941,4.287326728,4.505455548,4.287326728,3269270,76.27024261,12.26,180.0217423,0.180514991,4.173405667,2537.867943
002415.SZ,20110729,4.395914874,4.484499941,4.50069291,4.387342126,2464493,69.732351,11.58,163.9583333,0.184488517,4.206782048,2640.42428
002415.SZ,20110801,4.207314409,4.33400058,4.42925334,4.096821208,3387085,58.27836006,2.72,34.07012744,0.170454193,4.206861902,3426.655207
002415.SZ,20110802,4.235890237,4.169213305,4.245415513,4.081580766,1426235,59.36738555,-0.85,-21.33518549,0.159795696,4.211216153,2439.38707
002415.SZ,20110803,4.408297733,4.181596164,4.417823009,4.150162753,2886094,65.25930937,5.33,75.95856029,0.163377292,4.24077839,2802.646997
002415.SZ,20110804,4.383532015,4.408297733,4.448303892,4.334953108,1116628,63.82755015,3.46,103.1322982,0.162345924,4.262191434,1643.773526
002415.SZ,20110805,4.47687972,4.209219464,4.576895118,4.19112144,3492539,66.7855115,6.82,98.99299475,0.167134317,4.294394676,2612.405382
002415.SZ,20110808,4.35400366,4.474974665,4.638809412,4.314950028,3343034,59.84787381,5.03,94.44558032,0.159179163,4.303336024,3222.270735
002415.SZ,20110809,4.300662114,4.24255793,4.352098604,4.027286693,1604936,57.07604606,5.24,-33.83668904,0.146877319,4.302934937,2276.847513
002415.SZ,20110810,4.333048052,4.30637728,4.488310051,4.30637728,1805219,58.33768895,6.19,50.6001329,0.1381488,4.307451905,1669.954248
002415.SZ,20110811,4.477832248,4.273991341,4.494025217,4.257798372,2596603,63.50244537,5.88,64.86800711,0.141285608,4.333008956,1806.740729
002415.SZ,20110812,4.487357524,4.47687972,4.629284136,4.47687972,2236832,63.82021586,4,137.5067273,0.14289298,4.356161241,1606.323178
002415.SZ,20110815,4.569274897,4.487357524,4.591183032,4.457829168,1514355,66.51993861,1.89,132.8323156,0.149058626,4.38812829,854.6602744
002415.SZ,20110816,4.5245061,4.569274897,4.597850725,4.50450302,1382376,63.72145375,2.93,117.9232403,0.148619286,4.408584961,150.7284804
002415.SZ,20110817,4.427348285,4.5245061,4.559749621,4.408297733,3284776,58.01700809,5.23,53.99577063,0.138830926,4.41139946,1115.081309
002415.SZ,20110818,4.105393956,4.419728064,4.419728064,4.076818128,7745572,43.96996036,-3.08,-117.1090687,0.103896898,4.365498634,5416.390661
002415.SZ,20110819,4.124444508,4.0482423,4.172070888,4.017761417,4817560,44.82129289,-6.44,-154.6399215,0.076862625,4.329340515,6388.901057
