code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
000568.SZ,20110701,32.2947149,32.4235502,32.66690576,32.08714692,5016437,51.03269974,1.53,85.28640713,-0.120090834,32.06473836,-618.9880062
000568.SZ,20110704,33.06772669,32.56670053,33.20371951,32.49512536,9017002,57.78854226,5,135.9842473,-0.031237209,32.21518661,1871.048381
000568.SZ,20110705,32.85300119,33.06772669,33.27529467,32.66690576,4210620,55.49802753,5.28,116.1064874,0.021604334,32.3108588,-33.54178208
000568.SZ,20110706,33.60454044,32.74563845,33.99820385,32.70985086,8179778,61.2823566,9.9,146.2901065,0.122710049,32.50491105,1640.920077
000568.SZ,20110707,34.1485117,33.62601299,34.62806531,33.61169795,6287037,64.84423627,11.65,180.7429941,0.243919241,32.75145114,1424.241589
000568.SZ,20110708,33.76104211,33.81221736,34.47018484,33.63675937,4258238,60.56985548,7.89,137.0891166,0.305194748,32.90288979,-380.1665892
000568.SZ,20110711,34.57984561,33.68062341,34.92345084,33.68062341,5851358,65.71330218,7.36,143.5383377,0.415042278,33.15443316,-518.6793602
000568.SZ,20110712,34.56522411,34.41900912,35.15739483,34.19237588,6239958,65.54886956,8.01,136.6422622,0.495208943,33.3660518,-311.295584
000568.SZ,20110713,35.08428733,34.58715636,35.43520331,34.25086188,7257501,68.55684221,8.93,127.7924825,0.593780931,33.62378713,666.4473242
000568.SZ,20110714,34.47018436,35.15008408,35.15008408,34.21430813,7099445,61.69378751,5.64,89.30110051,0.61525469,33.75074672,1298.805816
000568.SZ,20110715,34.43363062,34.38976612,35.01849058,34.21430813,6722183,61.30041369,7.1,73.82982758,0.622151443,33.8531793,1478.492431
000568.SZ,20110718,34.70412835,34.38976612,35.00386908,34.28741562,5641611,63.17178965,7.46,72.13794967,0.642043004,33.98082166,740.4288676
000568.SZ,20110719,34.25817263,34.6529531,34.87227559,34.14120063,4020348,58.17698266,6.08,47.25494733,0.614736015,34.0224243,-1139.57921
000568.SZ,20110720,34.93076159,34.36783387,35.09159808,34.19968663,4943632,62.93671096,5.63,69.52678169,0.639989932,34.1586749,-1863.010505
000568.SZ,20110721,35.63259355,34.94538309,36.02737403,34.73337135,12772965,67.13925518,8.46,139.9916626,0.708469028,34.3797627,3837.05125
000568.SZ,20110722,36.11510302,35.63259355,36.612234,35.49368931,10988321,69.68428858,7.47,198.7741677,0.792537803,34.64006374,6835.536884
000568.SZ,20110725,34.76261435,35.92502353,36.26131802,34.7260606,7135264,56.47979694,1.8,87.23353792,0.741481049,34.65844634,6033.216205
000568.SZ,20110726,34.57984561,34.57984561,34.93076159,33.99498564,7478106,54.96407783,2.43,-39.83404889,0.67844955,34.64665623,5609.354976
000568.SZ,20110727,35.18663782,34.21430813,35.38402806,34.07540389,6201171,58.90698351,1.75,16.02394301,0.669739354,34.72765347,4194.708087
000568.SZ,20110728,35.28167757,34.95269384,35.29629907,34.7845466,4000845,59.50499391,2.07,46.57444005,0.662864288,34.81075708,1283.317755
000568.SZ,20110729,35.10621958,35.23781307,35.38402806,35.03311208,3435730,57.83174861,0.06,46.8403971,0.635927183,34.85507646,-1463.114759
