code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
601628.SH,20110701,16.07766151,16.21581542,16.31943086,15.90496912,9191348,51.73577052,2.55,80.63701396,0.089155678,15.82231902,-2878.221624
601628.SH,20110704,16.50939248,16.18991156,16.53529634,16.14673847,18184882,53.84802624,6.05,128.0143688,0.136693908,15.92538004,5038.206996
601628.SH,20110705,16.42304629,16.49212325,16.52666172,16.32806547,10179544,53.34518485,5.67,112.7906656,0.165493179,16.00002998,4797.097032
601628.SH,20110706,16.44031553,16.35396933,16.48348863,16.21581542,8545790,53.43883312,6.73,92.01589803,0.187548351,16.06607281,3250.245897
601628.SH,20110707,16.31079624,16.75116183,16.75116183,16.30216162,12571269,52.58627953,5.41,97.55697404,0.192358718,16.10278133,5212.493972
601628.SH,20110708,16.293527,16.38850781,16.39714243,16.21581542,6610045,52.46608995,5.24,59.04007456,0.192557799,16.13139318,1935.073814
601628.SH,20110711,16.15537308,16.21581542,16.293527,16.06039227,5187323,51.45292734,2.69,13.51770985,0.179498558,16.13499016,-1789.692564
601628.SH,20110712,15.8099883,16.06039227,16.06902689,15.80135369,7929708,48.91006203,-2.45,-103.1325301,0.139669329,16.08623988,-2499.903913
601628.SH,20110713,15.98268069,15.87043064,16.02585379,15.8099883,7535075,50.23439516,-1.28,-104.7839506,0.120648451,16.07070601,-3342.655324
601628.SH,20110714,16.00858455,15.97404608,16.01721917,15.91360374,6234277,50.44191153,-0.38,-81.40953804,0.106437547,16.06138779,-5002.511327
601628.SH,20110715,16.04312303,16.00858455,16.17264232,15.91360374,7648754,50.73687514,1.2,-48.56598834,0.096845891,16.05864807,-5117.601912
601628.SH,20110718,16.06039227,16.05175765,16.1640077,15.93087298,7697674,50.89425202,-0.8,-42.87050023,0.089605006,16.0589097,-5110.427847
601628.SH,20110719,15.90496912,15.99994993,16.04312303,15.87043064,4337046,49.36572993,-1.07,-87.02085518,0.070512381,16.03581862,-7727.411496
601628.SH,20110720,15.93087298,15.99131531,16.06902689,15.87043064,5688334,49.63721513,-3.5,-69.94660564,0.056816616,16.02007677,-8611.7426
601628.SH,20110721,15.79271907,15.96541146,16.02585379,15.72364211,5874529,48.15428745,-3.84,-95.56625539,0.034418009,15.98597311,-9057.923464
601628.SH,20110722,15.84452678,15.80135369,15.90496912,15.78408445,5229550,48.77235073,-3.62,-87.72710419,0.020609823,15.96475616,-9818.784329
601628.SH,20110725,15.43869967,15.79271907,15.79271907,15.42143043,11394117,44.31569628,-5.35,-177.0723684,-0.022817098,15.88584769,-5385.402108
601628.SH,20110726,15.50777662,15.43869967,15.5423151,15.43869967,4962085,45.23303715,-4.82,-176.9522535,-0.051070604,15.82913703,-6981.548094
601628.SH,20110727,15.35235347,15.42143043,15.53368048,15.33508423,12121639,43.49674843,-4.97,-173.6987465,-0.085022968,15.7576195,-2441.202891
