code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
601288.SH,20110701,1.597349801,1.632328264,1.638158008,1.585690314,161490024,49.22475923,3.01,51.83193921,0.001507059,1.601070091,4196.422301
601288.SH,20110704,1.614839033,1.603179545,1.620668776,1.591520057,133470600,53.69812927,4.14,48.19772556,0.002468006,1.603135432,4285.05132
601288.SH,20110705,1.597349801,1.614839033,1.614839033,1.591520057,110641726,49.04483229,3.79,26.4292293,0.001797607,1.602267588,4449.930908
601288.SH,20110706,1.574030826,1.597349801,1.597349801,1.556541595,217111704,43.61750676,2.27,-35.72096658,-0.000608323,1.598032073,3367.501856
601288.SH,20110707,1.556541595,1.57986057,1.591520057,1.544882107,285278025,40.03884913,0.75,-70.48611111,-0.003881531,1.591808502,3609.224715
601288.SH,20110708,1.568201082,1.562371338,1.574030826,1.544882107,147643439,43.3743854,-0.37,-87.5,-0.005471675,1.588267389,4751.79465
601288.SH,20110711,1.562371338,1.562371338,1.574030826,1.550711851,84512601,42.11294705,-1.83,-96.55172414,-0.007120209,1.584382981,4582.27429
601288.SH,20110712,1.550711851,1.556541595,1.562371338,1.533222619,192768526,39.63051651,-4.66,-124.6212121,-0.009260756,1.579332312,9810.548944
601288.SH,20110713,1.57986057,1.556541595,1.57986057,1.550711851,204725635,47.89910449,-3.21,-61.61458333,-0.008507032,1.57941155,9647.331207
601288.SH,20110714,1.574030826,1.574030826,1.57986057,1.562371338,148721830,46.52655053,-3.23,-48.55072464,-0.008284613,1.578604442,10377.12197
601288.SH,20110715,1.574030826,1.574030826,1.585690314,1.556541595,168332399,46.52655053,-2.88,-41.29104062,-0.008015941,1.577918399,8834.810322
601288.SH,20110718,1.591520057,1.574030826,1.591520057,1.568201082,243729955,51.37448629,-2.5,-0.452634982,-0.006318941,1.579958648,6798.265067
601288.SH,20110719,1.585690314,1.585690314,1.591520057,1.574030826,132658658,49.75521112,-0.73,9.567198178,-0.005382423,1.580818398,4940.162374
601288.SH,20110720,1.585690314,1.585690314,1.597349801,1.574030826,129115720,49.75521112,-1.81,33.79758589,-0.004587345,1.581549185,4623.708898
601288.SH,20110721,1.57986057,1.57986057,1.585690314,1.562371338,155456442,48.00056757,-1.09,-1.576576577,-0.004377195,1.581295893,3342.494705
601288.SH,20110722,1.568201082,1.574030826,1.57986057,1.562371338,102860412,44.61199598,-0.37,-23.72881356,-0.005092766,1.579331671,1934.541196
601288.SH,20110725,1.539052363,1.562371338,1.568201082,1.533222619,134785804,37.48712343,-1.12,-167.8362573,-0.007920615,1.573289775,1515.193105
601288.SH,20110726,1.544882107,1.539052363,1.556541595,1.533222619,149280144,39.5659665,-1.49,-140.5204461,-0.009580852,1.569028625,592.7308339
601288.SH,20110727,1.544882107,1.539052363,1.550711851,1.533222619,73722265,39.5659665,-1.12,-123.0031949,-0.010772424,1.565406647,269.1223779
601288.SH,20110728,1.539052363,1.539052363,1.544882107,1.533222619,58993545,38.09667273,-0.75,-116.989843,-0.01204828,1.561453505,1526.946723
601288.SH,20110729,1.562371338,1.539052363,1.585690314,1.533222619,134114067,46.63356369,-1.11,-16.62100457,-0.011050377,1.56159118,1240.032615
601288.SH,20110801,1.562371338,1.556541595,1.574030826,1.544882107,57426465,46.63356369,-0.74,-21.89638319,-0.010142614,1.561708203,376.8361752
601288.SH,20110802,1.544882107,1.550711851,1.556541595,1.539052363,33675014,41.63880379,-1.85,-75.64102564,-0.010710971,1.559184289,-616.322701
601288.SH,20110803,1.556541595,1.539052363,1.556541595,1.533222619,96388135,45.80614874,-2.2,-58.33333333,-0.0101041,1.558787885,-725.798143
