code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
600570.SH,20110701,5.895269915,5.99251148,5.99251148,5.891218183,2063035,56.24188249,3.26,115.3506098,-0.015508306,5.716885824,2752.701168
600570.SH,20110704,5.931735502,5.895269915,6.037080531,5.854752596,3569447,57.48459934,8.36,108.3178594,0.002627757,5.749113275,3256.061617
600570.SH,20110705,5.947942429,5.947942429,6.000614944,5.895269915,2264637,58.05476149,12.49,98.13752945,0.018099837,5.778937648,2572.45215
600570.SH,20110706,5.915528574,5.947942429,5.947942429,5.793976617,4825676,56.42494782,12.92,69.20409149,0.027429851,5.799426287,4050.539068
600570.SH,20110707,6.008718408,5.879062987,6.207253271,5.858804327,7131839,59.90962656,11.67,103.5516455,0.041861047,5.830820105,7002.098572
600570.SH,20110708,6.081649582,6.008718408,6.118115169,6.008718408,2151749,62.44106544,11.1,106.4216973,0.058508362,5.868444527,5262.056604
600570.SH,20110711,6.178891148,6.041132263,6.203201539,5.956045893,2508304,65.56334459,10.99,111.69967,0.07864153,5.91501152,4123.240742
600570.SH,20110712,6.037080531,6.118115169,6.182942879,5.976304553,1313427,57.99207671,5,87.71388138,0.082206652,5.933321872,2230.839361
600570.SH,20110713,6.028977067,6.000614944,6.045183995,5.984408016,2148097,57.58286559,5.76,60.99858691,0.083416581,5.947670151,1388.599653
600570.SH,20110714,6.000614944,6.028977067,6.07759785,5.980356284,1518300,56.09101683,5.41,54.67860049,0.081151409,5.95561187,210.4985754
600570.SH,20110715,5.90742511,5.964149357,6.033028799,5.870959523,5168396,51.3807407,2.97,-11.04713158,0.071017952,5.948383856,2196.843559
600570.SH,20110718,5.943890697,5.915528574,6.049235727,5.895269915,4429665,53.04246031,-1.15,-7.676047034,0.065178248,5.947709882,3138.760415
600570.SH,20110719,5.858804327,5.875011255,5.980356284,5.777769689,2947460,48.8472744,-0.62,-114.294135,0.053072693,5.934374049,2658.574357
600570.SH,20110720,5.818287008,5.858804327,5.895269915,5.733200639,3798381,46.94327704,-1.91,-150.7061018,0.039751316,5.916960993,2930.860444
600570.SH,20110721,5.708890247,5.814235277,6.166735952,5.631907341,3513448,42.16445413,-4.02,-115.5876187,0.020134526,5.885750381,2883.492901
600570.SH,20110722,5.635959073,5.67242466,5.789924885,5.619752145,1728309,39.29266564,-4.73,-189.8645308,-0.001282078,5.848281685,1389.478752
600570.SH,20110725,5.453631137,5.635959073,5.688631588,5.396906891,2817436,33.20401255,-9.24,-211.4345717,-0.032591538,5.789084103,1071.939591
600570.SH,20110726,5.518458848,5.368544768,5.623803877,5.368544768,2934089,36.94528598,-9.26,-162.1737867,-0.051578886,5.748490314,903.9960354
600570.SH,20110727,5.623803877,5.510355384,5.652166001,5.473889797,2594268,42.57407681,-8.98,-105.7314993,-0.057463628,5.729787349,491.0320986
600570.SH,20110728,5.688631588,5.571131363,5.789924885,5.542769239,2498499,45.78164016,-5.77,-60.1641719,-0.056247883,5.723613985,85.49212418
600570.SH,20110729,5.656217732,5.753459298,5.850700864,5.635959073,3748279,44.44490931,-6.18,-35.36078364,-0.057240095,5.713504547,763.7626044
600570.SH,20110801,5.595441754,5.554924435,5.708890247,5.554924435,1751681,41.97043986,-6.75,-63.68344728,-0.062213387,5.695795128,-306.2604964
600570.SH,20110802,5.623803877,5.571131363,5.635959073,5.510355384,1514274,43.54992682,-4.8,-67.45550928,-0.063138351,5.68499644,-1330.492037
600570.SH,20110803,5.660269464,5.591390022,5.69268332,5.542769239,888625,45.60011581,-4.77,-41.23364759,-0.060234577,5.681287394,-2616.883563
600570.SH,20110804,5.684579856,5.67242466,5.725097175,5.635959073,833110,46.98254126,-2.97,-5.9929952,-0.055333815,5.681781263,-3639.203606
600570.SH,20110805,5.563027899,5.550872703,5.60759695,5.486044993,1605120,41.32747952,-4.39,-80.01404988,-0.060560055,5.663968258,-3782.845764
600570.SH,20110808,5.753459298,5.429320746,5.773717958,5.368544768,5875479,51.23131048,0.78,-11.38828633,-0.048773436,5.677391914,-445.7223755
600570.SH,20110809,6.114063437,5.652166001,6.154580756,5.591390022,13619688,63.71990834,8.48,227.5257299,-0.01021694,5.742892643,8351.629025
600570.SH,20110810,6.280184445,6.138373829,6.320701764,6.020873603,9412827,67.80949085,15.16,294.9532421,0.033359391,5.823486413,11793.06503
600570.SH,20110811,6.39768467,6.158632488,6.434150257,6.101908241,7021441,70.3549256,15.93,211.1210584,0.076493465,5.909616152,12447.29456
600570.SH,20110812,6.604322997,6.401736402,6.665098976,6.320701764,10324419,74.21625601,17.44,188.894823,0.125900216,6.013822178,15452.87228
600570.SH,20110815,6.442253721,6.559753946,6.624581657,6.373374279,7852520,66.86048133,13.25,133.4115171,0.150245845,6.07808691,15659.68329
600570.SH,20110816,6.385529474,6.430098525,6.454408917,6.304494836,3758953,64.45266699,12.89,92.10526316,0.163082842,6.124203295,12377.73324
600570.SH,20110817,6.405788134,6.39768467,6.470615844,6.284236177,4176398,64.93830543,14.48,78.55352384,0.172897899,6.16644102,9998.352629
600570.SH,20110818,6.430098525,6.373374279,6.478719308,6.320701764,4565990,65.54658638,14.34,70.94932191,0.180556703,6.205989646,8331.00984
600570.SH,20110819,6.543547019,6.381477743,6.54759875,6.280184445,5967918,68.30964373,15.6,69.95089251,0.193549586,6.256623252,8048.093981
600570.SH,20110822,6.478719308,6.563805678,6.786650933,6.361219083,9197305,65.09698108,13.97,78.09159353,0.196352061,6.28993766,10310.86926
600570.SH,20110823,6.535443555,6.409839866,6.551650482,6.280184445,3453208,66.57815567,17.48,55.59710323,0.200835113,6.326763545,7384.01047
600570.SH,20110824,6.486822772,6.535443555,6.600271265,6.385529474,2679740,64.06843565,12.75,59.1038591,0.198180176,6.350772429,4389.727709
600570.SH,20110825,6.523288359,6.470615844,6.575960874,6.385529474,2440427,65.13010695,6.69,58.6308144,0.196750569,6.376649818,1802.849332
600570.SH,20110826,6.490874504,6.527340091,6.608374729,6.470615844,2652299,63.33861575,3.35,73.81370826,0.190802614,6.393783521,-75.43782132
600570.SH,20110829,6.365270815,6.466564112,6.466564112,6.239667126,2673277,56.81683336,-0.51,-64.68731026,0.173948479,6.389506615,-1529.436043
600570.SH,20110830,6.292339641,6.340960424,6.39768467,6.284236177,1555063,53.37990094,-4.72,-115.2551801,0.152943482,6.374931569,-3543.201533
600570.SH,20110831,6.166735952,6.280184445,6.280184445,6.081649582,1922617,47.99515475,-4.28,-218.9012037,0.124723963,6.343702226,-4787.354193
600570.SH,20110901,6.158632488,6.166735952,6.251822322,6.089753046,1194625,47.66111003,-3.55,-176.1128205,0.100546867,6.315941766,-6288.295288
600570.SH,20110902,6.195098075,6.150529024,6.235615394,6.110011705,1322645,49.36885176,-3.29,-133.4883721,0.0833678,6.297815212,-7290.460588
600570.SH,20110905,5.915528574,6.182942879,6.199149807,5.895269915,1749845,38.89164985,-8,-177.6872454,0.046656516,6.240472216,-7651.764335
600570.SH,20110906,5.850700864,5.887166451,5.976304553,5.781821421,1207771,36.93426029,-10.59,-175.2639517,0.012190975,6.182006513,-8280.061181
600570.SH,20110907,6.000614944,5.911476842,6.01277014,5.850700864,848701,43.9584677,-7.38,-113.3286119,-0.002991913,6.154797778,-8964.39448
600570.SH,20110908,6.105959973,6.033028799,6.199149807,5.996563212,2258587,48.31484941,-6.57,-54.36605821,-0.006449649,6.147472107,-8273.699321
600570.SH,20110909,6.276132713,6.07759785,6.280184445,6.07759785,4708470,54.47169214,-3.25,-9.528296948,0.004489831,6.166771198,-5683.946598
600570.SH,20110913,6.199149807,6.195098075,6.320701764,6.085701314,2538699,51.48388487,-4.97,-6.959064327,0.006868397,6.171627989,-5321.035187
600570.SH,20110914,6.320701764,6.191046343,6.361219083,6.118115169,4539810,55.62286473,-2.62,31.17333333,0.018350125,6.193989056,-3379.736443
600570.SH,20110915,6.154580756,6.280184445,6.3125983,6.130270365,2046003,49.41790573,-3.31,10.31155225,0.013884845,6.188077811,-3809.622084
600570.SH,20110916,6.150529024,6.158632488,6.211305003,6.122166901,1207160,49.27352805,-2.25,4.093567251,0.009904959,6.182445493,-4772.175084
600570.SH,20110919,5.915528574,6.105959973,6.150529024,5.899321646,3076668,41.66945603,-4.07,-90.04329004,-0.012072537,6.142407955,-3980.582874
600570.SH,20110920,5.899321646,5.915528574,5.976304553,5.680528124,3489376,41.19726512,-4.21,-140.4682274,-0.030446654,6.105945009,-2985.801025
600570.SH,20110921,6.01277014,5.915528574,6.085701314,5.895269915,1891677,45.82512734,-2.94,-47.60130415,-0.035445337,6.091968778,-3446.905035
600570.SH,20110922,5.879062987,6.008718408,6.008718408,5.866907791,613420,41.66336016,-0.62,-78.69362364,-0.049623847,6.06003291,-4788.580085
600570.SH,20110923,5.923632038,5.753459298,5.943890697,5.700786783,810331,43.50517594,1.25,-97.0287033,-0.056611486,6.039572779,-5628.099282
600570.SH,20110926,5.712941979,5.798028349,5.915528574,5.591390022,1710425,37.48083696,-4.79,-131.3424237,-0.078248171,5.990578159,-5503.680656
600570.SH,20110927,5.729148907,5.668372928,5.785873153,5.668372928,1212812,38.18987482,-6.17,-124.737414,-0.093015412,5.951363771,-5740.437908
600570.SH,20110928,5.575183094,5.725097175,5.765614494,5.550872703,1820485,34.21944503,-11.17,-138.0846325,-0.115807357,5.89493667,-5375.759994
600570.SH,20110929,5.413113818,5.52251058,5.58733829,5.392855159,1871564,30.61168532,-12.68,-157.7344122,-0.145273154,5.822663242,-4988.034678
600570.SH,20110930,5.575183094,5.481993261,5.631907341,5.356389572,1484448,37.68673997,-11.79,-118.5185185,-0.153774756,5.78554122,-4936.228066
600570.SH,20111010,5.567079631,5.664321196,5.664321196,5.490096725,416964,37.48095728,-9.55,-89.36635431,-0.159329566,5.752771981,-5690.939717
600570.SH,20111011,5.526562312,5.623803877,5.67242466,5.43742421,492006,36.4104228,-10.14,-85.1942142,-0.165098054,5.718840531,-6157.521441
600570.SH,20111012,5.668372928,5.526562312,5.716993711,5.421217282,1877502,42.59091855,-4.18,-57.76152689,-0.156423538,5.71127039,-5347.666764
600570.SH,20111013,5.631907341,5.660269464,5.721045443,5.583286558,1662326,41.47462356,-4.53,-32.6679545,-0.150753596,5.699365933,-4823.873535
