code,Date,Close,Open,High,Low,Volume,RSI,ROC,CCI,MACD,EXPMA,VMACD
600036.SH,20110701,8.739191489,8.833888611,8.840652691,8.664786608,87298477,43.33207998,0.62,-24.08215661,-0.06991045,8.812787449,73450.99663
600036.SH,20110704,9.057103254,8.78654005,9.063867334,8.76624781,96456029,55.86325198,5.18,108.2959641,-0.04519283,8.84943482,98253.90061
600036.SH,20110705,8.982698373,9.057103254,9.117979975,8.942113892,56876051,52.91404733,4.32,115.1136211,-0.031247587,8.869424353,84992.90104
600036.SH,20110706,8.908293492,8.982698373,8.982698373,8.81359637,52994901,50.06749455,2.89,40.0114893,-0.025901161,8.875254724,70538.57487
600036.SH,20110707,8.948877972,9.036811014,9.145036295,8.901529412,114718104,51.59704356,2.32,86.6563627,-0.018179687,8.886298211,107647.9847
600036.SH,20110708,9.070631414,8.989462453,9.131508135,8.948877972,59139178,55.9559105,3.47,107.424666,-0.002210398,8.913948192,91159.08576
600036.SH,20110711,8.942113892,9.023282853,9.023282853,8.894765332,57881889,50.75970203,0.69,34.67643468,0.0000742,8.918173047,76198.6172
600036.SH,20110712,8.76624781,8.867709011,8.867709011,8.712135169,68064651,44.64942501,-3.07,-95.5351682,-0.012165864,8.895384261,71732.09309
600036.SH,20110713,8.847416771,8.79330413,8.888001251,8.739191489,53137836,47.77420522,-1.43,-62.28710462,-0.015142024,8.888189138,55507.78909
600036.SH,20110714,8.79330413,8.847416771,8.874473091,8.718899249,71912105,45.91327934,-1.22,-71.73144876,-0.021617892,8.873956386,57140.49725
600036.SH,20110715,8.80006821,8.739191489,8.847416771,8.725663329,41104105,46.19540957,0.7,-64.29840142,-0.025905636,8.86287316,33192.32846
600036.SH,20110718,8.77977597,8.80006821,8.854180851,8.76624781,49088207,45.42980279,-0.31,-50.68965517,-0.030588512,8.850408581,20420.34222
600036.SH,20110719,8.658022528,8.718899249,8.732427409,8.637730288,77469227,41.03538454,-0.93,-126.7998142,-0.043621371,8.821550673,32821.21975
600036.SH,20110720,8.617438047,8.718899249,8.725663329,8.603909887,64859679,39.65830779,-4.85,-125.4661017,-0.056572699,8.79093378,32104.07731
600036.SH,20110721,8.543033166,8.630966208,8.658022528,8.522740926,81932426,37.19398034,-4.89,-148.9514988,-0.07201048,8.753748688,44795.6405
600036.SH,20110722,8.549797246,8.563325407,8.576853567,8.461864205,57635787,37.57375279,-4.02,-148.3454988,-0.08274539,8.723155971,34846.74704
600036.SH,20110725,8.340110763,8.488920526,8.509212766,8.326582603,86236499,31.26278176,-6.8,-173.1712519,-0.106940092,8.66569919,49470.2988
600036.SH,20110726,8.353638924,8.353638924,8.434807885,8.299526283,50657725,32.05568055,-7.9,-144.2714026,-0.123598195,8.61889015,31981.80542
600036.SH,20110727,8.292762203,8.326582603,8.346874843,8.258941802,72612427,30.35859156,-7.26,-140.2092676,-0.140097151,8.569970958,35429.25173
600036.SH,20110728,8.150716521,8.252177722,8.252177722,8.13042428,75489139,26.79408069,-7.02,-150.7418869,-0.162758415,8.507082792,40021.30327
600036.SH,20110729,8.353638924,8.171008761,8.448336045,8.13042428,86750926,37.99451965,-5.58,-89.80392157,-0.162470627,8.484066212,52146.74292
600036.SH,20110801,8.279234042,8.313054443,8.387459324,8.252177722,40604910,35.82985789,-5.85,-78.10781078,-0.166329067,8.453341387,24240.82969
600036.SH,20110802,8.245413642,8.218357322,8.265705882,8.150716521,32337060,34.85771522,-6.3,-92.17296114,-0.170154498,8.422152225,-4494.462217
